?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/NCBITaxon_8342>		
<http://purl.obolibrary.org/obo/CHEBI_76807>	"An EC 3.5.* (hydrolases acting on non-peptide C-N bonds) inhibitor that interferes with the action of any non-peptide linear amide C-N hydrolase (EC 3.5.1.*)."	
<http://purl.obolibrary.org/obo/UBERON_0010316>		
<http://purl.obolibrary.org/obo/CL_0002178>		
<http://purl.obolibrary.org/obo/MONDO_0015067>	"A well differentiated, low or intermediate grade tumor with neuroendocrine differentiation that arises from the colon."	"NCIT:C135212"
<http://purl.obolibrary.org/obo/MONDO_0003799>	"Inflammation of the conjunctiva of the eye."	"UMLS:C0009763 MESH:D003231 NCIT:C34504 ICD9:372.39 ICD9:372.30 HP:0000509 DOID:6195 SCTID:9826008"
<http://purl.obolibrary.org/obo/MONDO_0005301>	"A progressive autoimmune disorder affecting the central nervous system resulting in demyelination. Patients develop physical and cognitive impairments that correspond with the affected nerve fibers."	"DOID:2377 NCIT:C3243 UMLS:C0026769 ICD9:340 MESH:D009103 Orphanet:802 EFO:0003885 SCTID:24700007 ICD10CM:G35"
<http://purl.obolibrary.org/obo/GO_0043227>		
<http://purl.obolibrary.org/obo/CHEBI_36357>	"Any molecular entity consisting of more than one atom."	
<http://purl.obolibrary.org/obo/PATO_0000001>	"A dependent entity that inheres in a bearer by virtue of how the bearer is related to other entities"	
<http://purl.obolibrary.org/obo/MONDO_0021084>	"Any impairment to the vision."	"NCIT:C35126 MESH:D014786 SCTID:95677002 UMLS:C0042790 MedDRA:10047518"
<http://purl.obolibrary.org/obo/GO_0009251>		
<http://purl.obolibrary.org/obo/NCBITaxon_110815>		
<http://purl.obolibrary.org/obo/UBERON_0005870>		
<https://github.com/bmir-radx/gcbo/nih_fibromyalgia>		
<http://purl.obolibrary.org/obo/MONDO_0006938>	"Inflammation of the renal pelvis."	"UMLS:C0034183 DOID:2744 MedDRA:10037584 SCTID:27174002 EFO:1001140 MESH:D011702 NCIT:C34964"
<http://purl.obolibrary.org/obo/CHEBI_24833>	"A compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."	
<http://purl.obolibrary.org/obo/UBERON_0000409>		
<http://purl.obolibrary.org/obo/CL_0002351>		
<http://purl.obolibrary.org/obo/MONDO_0004255>	"A benign or malignant epithelial neoplasm of probable Wolffian origin. It predominantly arises from the broad ligament and presents as a unilateral adnexal mass."	"DOID:7514 UMLS:C1520159 MESH:C536741 NCIT:C40141"
<http://purl.obolibrary.org/obo/UBERON_0007832>		
<http://purl.obolibrary.org/obo/NCBITaxon_110814>		
<http://purl.obolibrary.org/obo/MONDO_0004192>	"A malignant neoplasm involving the urethra"	"SCTID:363459007 NCIT:C7507 ONCOTREE:UCA ICD9:189.3 ICD10CM:C68.0 DOID:734"
<http://purl.obolibrary.org/obo/MONDO_0003060>	"A malignant neoplasm involving the biliary tree"	"UMLS:C0750952 DOID:4607 ICD9:156.9 SCTID:126853008"
<http://purl.obolibrary.org/obo/GO_0010876>		
<http://purl.obolibrary.org/obo/MONDO_0000837>	"A disease that has its basis in the disruption of bone resorption. Bone resorption is a process in which specialized cells known as osteoclasts degrade the organic and inorganic portions of bone, and endocytose and transport the degradation products."	"MESH:D001862 DOID:0080011"
<http://purl.obolibrary.org/obo/NCIT_C36115>		
<http://purl.obolibrary.org/obo/MONDO_0044991>	"A disease or disorder that involves the upper digestive tract."	"SCTID:119291004"
<http://purl.obolibrary.org/obo/MONDO_0012521>	"Herpes simplex virus encephalitis (HSE) is caused by the infection of the central nervous system by Herpes simplex virus (HSV) that could have a devastating clinical course and a potentially fatal outcome particularly with delay or lack of treatment. HSV often involves the frontal and temporal lobes, usually asymmetrically, resulting in personality changes, cognitive impairment, aphasia, seizures, and focal weakness."	"Orphanet:1930 NCIT:C84762 GARD:6649 ICD10EXP:G05.1* ICD10EXP:B00.4+ MESH:D020803 NORD:1087"
<http://purl.obolibrary.org/obo/UBERON_0003914>		
<http://purl.obolibrary.org/obo/PATO_0001547>		
<http://purl.obolibrary.org/obo/MONDO_0002118>	"A disease involving the renal system."	"ICD9:V47.4 MESH:D014570 SCTID:128606002 NCIT:C3430 UMLS:C0042075 DOID:18"
<http://purl.obolibrary.org/obo/GO_0006950>		
<http://purl.obolibrary.org/obo/CHEBI_33861>		
<http://purl.obolibrary.org/obo/CL_0000147>		
<http://purl.obolibrary.org/obo/MONDO_0010150>	"A squamous cell carcinoma that arises from any of the following anatomic sites: lip and oral cavity, nasal cavity, paranasal sinuses, pharynx, larynx, and salivary glands."	"MedDRA:10060121 ONCOTREE:HNSC SCTID:716659002 NCIT:C34447 OMIM:275355 MESH:C535575 UMLS:C1168401 EFO:0000181 DOID:5520 Orphanet:67037"
<http://purl.obolibrary.org/obo/MONDO_0016105>	"An instance of skeletal muscle disease that is acquired during the lifetime of the individual."	"GARD:20359 Orphanet:206638 UMLS:CN200878"
<http://purl.obolibrary.org/obo/MONDO_0021380>	"A neoplasm (disease) that involves the myocardium."	"UMLS:C1290402 ICD9:239.89 SCTID:126732009 NCIT:C5349"
<https://github.com/bmir-radx/gcbo/nih_chronic_kidney_disease_treatment>		
<http://purl.obolibrary.org/obo/MONDO_0005083>	"An autoimmune condition characterized by red, well-delineated plaques with silvery scales that are usually on the extensor surfaces and scalp. They can occasionally present with these manifestations: pustules; erythema and scaling in intertriginous areas, and erythroderma, that are often distributed on extensor surfaces and scalp."	"ICD9:696 UMLS:C0033860 MESH:D011565 NCIT:C3346 ICD9:696.8 ICD9:696.5 SCTID:9014002 OMIMPS:177900 EFO:0000676 DOID:8893 ICD10CM:L40 ICD9:696.1"
<http://purl.obolibrary.org/obo/MONDO_0005554>	"Inflammatory and degenerative diseases of connective tissue structures, such as arthritis."	"UMLS:C0009326 NCIT:C27204 DOID:1575 MESH:D012216 Wikipedia:Rheumatism EFO:0005755 SCTID:396332003 ICD9:729.0"
<http://purl.obolibrary.org/obo/MONDO_0005586>	"A benign or malignant neoplasm that affects the anatomic structures of the head and neck region. Representative examples of benign neoplasms include salivary gland pleomorphic adenoma and nasal cavity papilloma. Representative examples of malignant neoplasms include oral cavity squamous cell carcinoma, laryngeal squamous cell carcinoma, and salivary gland carcinoma."	"SCTID:255055008 ONCOTREE:HEADNECK EFO:0005950 NCIT:C3077 UMLS:C0018671 ICD9:239.89"
<http://purl.obolibrary.org/obo/NCBITaxon_33392>		
<http://purl.obolibrary.org/obo/UBERON_0011953>		
<http://purl.obolibrary.org/obo/NCBITaxon_7147>		
<https://github.com/bmir-radx/gcbo/nih_cld_bpd>		
<http://purl.obolibrary.org/obo/PATO_0001548>		
<http://purl.obolibrary.org/obo/MONDO_0002760>	"A squamous cell carcinoma of the bladder arising from metaplastic epithelium. It represents less than 10% of bladder carcinomas. The exception is the Middle East along the Nile Valley, where it represents the most common form of carcinoma because of the endemic nature of schistosomiasis. Bladder squamous cell carcinoma is often associated with long-standing chronic inflammation of the bladder and usually has a poor prognosis. The diagnosis of squamous cell carcinoma of the bladder should be reserved for those tumors that are predominantly keratin forming."	"ONCOTREE:BLSC NCIT:C4031 DOID:3742 EFO:1000130 SCTID:255111004 UMLS:C0279681"
<http://purl.obolibrary.org/obo/GO_0032993>		
<http://purl.obolibrary.org/obo/MONDO_0002752>	"An adenocarcinoma that arises from the ovary. It is the most common type of ovarian carcinoma. It includes the serous adenocarcinoma, mucinous adenocarcinoma, clear cell adenocarcinoma, and endometrioid adenocarcinoma."	"EFO:0006460 Orphanet:213504 DOID:3713 MedDRA:10051938 GARD:20466 NCIT:C7700"
<http://purl.obolibrary.org/obo/NCBITaxon_8782>		
<http://purl.obolibrary.org/obo/UBERON_0034969>		
<http://purl.obolibrary.org/obo/MONDO_0006206>	"A carcinoma that arises from epithelial cells of the fallopian tube."	"EFO:1000251 DOID:1963 UMLS:C0238122 SCTID:276870001 NCIT:C3867"
<http://purl.obolibrary.org/obo/CL_0008024>		
<http://purl.obolibrary.org/obo/MONDO_0005943>	"Infections with nematodes of the order rhabditida."	"UMLS:C0162631 EFO:0007468 MESH:D017196"
<http://purl.obolibrary.org/obo/GO_0055082>		
<http://purl.obolibrary.org/obo/CHEBI_33595>	"Any molecule that consists of a series of atoms joined together to form a ring."	
<http://purl.obolibrary.org/obo/UBERON_0002185>		
<http://purl.obolibrary.org/obo/CHEBI_22586>	"A substance that opposes oxidation or inhibits reactions brought about by dioxygen or peroxides."	
<http://purl.obolibrary.org/obo/UBERON_0004582>		
<http://purl.obolibrary.org/obo/UBERON_0011821>		
<http://purl.obolibrary.org/obo/GO_0071326>		
<http://purl.obolibrary.org/obo/CHEBI_23888>	"Any substance which when absorbed into a living organism may modify one or more of its functions. The term is generally accepted for a substance taken for a therapeutic purpose, but is also commonly used for abused substances."	
<http://purl.obolibrary.org/obo/MONDO_0003085>	"A corneal disease that is characterized by inflammation of the cornea."	"ICD9:370.8 ICD9:370 UMLS:C0022568 DOID:4677 MESH:D007634 SCTID:5888003 NCIT:C26805 ICD9:370.9 ICD10CM:H16"
<http://purl.obolibrary.org/obo/UBERON_0000092>		
<http://purl.obolibrary.org/obo/CHEBI_36587>	"Organic compounds containing an oxygen atom, =O, doubly bonded to carbon or another element."	
<http://purl.obolibrary.org/obo/CL_0000149>		
<http://purl.obolibrary.org/obo/UBERON_0003386>		
<http://purl.obolibrary.org/obo/GO_0005929>		
<http://purl.obolibrary.org/obo/MONDO_0018201>	"A germ cell tumor arising in an anatomic site other than the testis or ovary (e.g., central nervous system, lung, mediastinum, and retroperitoneum)."	"GARD:9325 Orphanet:363579 UMLS:C0262963 NCIT:C3918"
<http://purl.obolibrary.org/obo/CHEBI_35519>		
<http://purl.obolibrary.org/obo/UBERON_0006235>		
<http://purl.obolibrary.org/obo/MONDO_0002542>	"A neoplasm that arises from glial cells in the spinal cord. Representative examples include astrocytoma, oligodendroglioma, and ependymoma."	"DOID:3185 UMLS:C2937245 NCIT:C4534 SCTID:254946004"
<http://purl.obolibrary.org/obo/UBERON_0011822>		
<http://purl.obolibrary.org/obo/UBERON_0013697>		
<http://purl.obolibrary.org/obo/NCIT_C2991>	"Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function."	"IMDRF:E23"
<http://purl.obolibrary.org/obo/MONDO_0003184>	"A carcinoma that arises from epithelial cells of the trachea."	"DOID:4876 EFO:1000599 UMLS:C1744708 NCIT:C9347"
<http://purl.obolibrary.org/obo/MONDO_0020283>	"An inflammatory process affecting a part of or the entire uvea. Causes include inflammatory agents (e.g., herpes simplex, herpes zoster, leptospirosis) and systemic diseases (e.g., inflammatory bowel disease, multiple sclerosis, systemic lupus erythematosus, ankylosing spondylitis). Patients present with pain and redness in the eye, light sensitivity, and blurred and decreased vision."	"DOID:13141 Orphanet:98715 EFO:1001231 GARD:19549 MedDRA:10046851 MESH:D014605 SCTID:128473001 UMLS:C0042164 NCIT:C26909 HP:0000554"
<http://purl.obolibrary.org/obo/CHEBI_33559>		
<http://purl.obolibrary.org/obo/HP_0000822>		
<http://purl.obolibrary.org/obo/MONDO_0004995>	"A disease involving the cardiovascular system."	"ICD9:390-459.99 ICD9:420-429.99 ICD9:459.89 ICD9:423.8 UMLS:C0007222 MESH:D002318 ICD9:429.8 ICD9:429.89 ICD9:429 ICD9:429.2 SCTID:49601007 ICD9:429.7 DOID:1287 NCIT:C2931 ICD9:459.9 ICD9:424 EFO:0000319 ICD9:423 ICD9:429.81"
<http://purl.obolibrary.org/obo/UBERON_0011823>		
<http://purl.obolibrary.org/obo/MONDO_0011122>	"A disorder involving an excessive amount of body fat."	"ICD9:278.0 SCTID:414916001 ICD9:278.00 DOID:9970 Orphanet:521399 UMLS:C0028754 EFO:0001073 NIFSTD:nlx_dys_20090302 HP:0001513 NCIT:C3283"
<http://purl.obolibrary.org/obo/MONDO_0005454>	"A low, intermediate, or high grade malignant neoplasm with neuroendocrine differentiation that arises from the lung. This category includes typical carcinoid tumor, atypical carcinoid tumor, small cell carcinoma, large cell neuroendocrine carcinoma, and combined carcinoma."	"ICD9:209.61 NCIT:C5670 EFO:0005220 UMLS:C1334452 SCTID:707594002 DOID:5410 ONCOTREE:LNET"
<http://purl.obolibrary.org/obo/CHEBI_59252>	"An organic anion arising from deprotonation of a acyclic tetrapyrrole compound."	
<https://github.com/bmir-radx/gcbo/nih_nicotine_yn>		
<http://purl.obolibrary.org/obo/PATO_0001987>		
<http://purl.obolibrary.org/obo/UBERON_0015788>		
<http://purl.obolibrary.org/obo/MONDO_0005551>	"An allergic disease involving a pathogenic inflammatory response in the camera-type eye."	"EFO:0005751"
<http://purl.obolibrary.org/obo/UBERON_0003077>		
<http://purl.obolibrary.org/obo/MONDO_0004934>	"Inflammation of the periosteum. The condition is generally chronic, and is marked by tenderness and swelling of the bone and an aching pain. Acute periostitis is due to infection, is characterized by diffuse suppuration, severe pain, and constitutional symptoms, and usually results in necrosis. (Dorland, 27th ed)"	"UMLS:C0031111 MESH:D010522 NCIT:C13184 DOID:9957 SCTID:41910004 HP:0040165"
<http://purl.obolibrary.org/obo/OGMS_0000031>	"A disposition (i) to undergo pathological processes that (ii) exists in an organism because of one or more disorders in that organism."@en	
<http://purl.obolibrary.org/obo/CHEBI_52092>	"An organic anion that is the conjugate base of ethanol."	
<http://purl.obolibrary.org/obo/NCIT_C18264>		
<https://github.com/bmir-radx/gcbo/nih_cf>		
<http://purl.obolibrary.org/obo/UBERON_0004141>		
<http://purl.obolibrary.org/obo/CHEBI_33303>	"Any p-block element belonging to the group 16 family of the periodic table."	
<http://purl.obolibrary.org/obo/UBERON_0034707>		
<http://purl.obolibrary.org/obo/UBERON_0003076>		
<http://purl.obolibrary.org/obo/CL_0002672>		
<http://purl.obolibrary.org/obo/MONDO_0000771>	"A respiratory system disease with a basis in a pathological type I hypersensitivity reaction."	"DOID:0060496"
<http://purl.obolibrary.org/obo/SYMP_0000446>		
<http://purl.obolibrary.org/obo/CHEBI_18248>	"An iron group element atom that has atomic number 26."	
<http://purl.obolibrary.org/obo/CL_0002368>		
<http://purl.obolibrary.org/obo/MONDO_0016289>	"A malignant germ cell tumor that involves the uterine cervix."	"GARD:20501 ICD10CM:C53.0 UMLS:C4750752 Orphanet:213837"
<http://purl.obolibrary.org/obo/UBERON_0010096>		
<http://purl.obolibrary.org/obo/UBERON_0011825>		
<https://github.com/bmir-radx/gcbo/nih_premature_birth>		
<http://purl.obolibrary.org/obo/MONDO_0800064>	"A skeletal dysplasia characterized by osteogenesis imperfecta and decreased bone density."	"HP:0004349"
<http://purl.obolibrary.org/obo/MONDO_0021245>	"A neoplasm (disease) that involves the oral cavity."	"EFO:0003868 ICD10CM:C00-C14 UMLS:C0026640 NCIT:C7606 SCTID:235075007"
<http://purl.obolibrary.org/obo/NCBITaxon_8783>		
<http://purl.obolibrary.org/obo/UBERON_0004807>		
<http://purl.obolibrary.org/obo/UBERON_0034706>		
<http://purl.obolibrary.org/obo/MONDO_0019218>	"Anomalies of bile acid synthesis are a group of sterol metabolism disorders due to enzyme deficiencies of bile acid synthesis (BAS) in infants, children and adults, with variable manifestations that include cholestasis, neurological disease, and fat malabsorption. Nine inborn errors have been described, 7 of which lead to liver cholestasis."	"GARD:18949 Orphanet:79168 GTR:AN0923838 UMLS:CN231736"
<http://purl.obolibrary.org/obo/ECTO_0001082>	"An exposure event involving Alcohol Consumption"	
<http://purl.obolibrary.org/obo/NCBITaxon_2732514>		
<http://purl.obolibrary.org/obo/GO_0009628>		
<http://purl.obolibrary.org/obo/CHEBI_23906>		
<http://purl.obolibrary.org/obo/UBERON_0004808>		
<http://purl.obolibrary.org/obo/UBERON_0015787>		
<http://purl.obolibrary.org/obo/UBERON_0034705>		
<http://purl.obolibrary.org/obo/MONDO_0002236>	"A benign or malignant neoplasm affecting the structures of the eye."	"ICD9:239.89 NCIT:C4767 SCTID:371486001 DOID:2174 MESH:D005134 ICD9:190.8"
<http://purl.obolibrary.org/obo/UBERON_0014892>		
<http://purl.obolibrary.org/obo/GO_0055080>		
<http://purl.obolibrary.org/obo/UBERON_0006238>		
<http://purl.obolibrary.org/obo/UBERON_0004277>		
<http://purl.obolibrary.org/obo/UBERON_0002050>		
<http://purl.obolibrary.org/obo/UBERON_0022303>		
<http://purl.obolibrary.org/obo/MONDO_0043424>	"A viral, bacterial, fungal, or parasitic infectious process that affects the digestive system."	"NCIT:C35503 SCTID:715852004"
<http://purl.obolibrary.org/obo/UBERON_0003869>		
<http://purl.obolibrary.org/obo/PATO_0001236>		
<http://purl.obolibrary.org/obo/UBERON_0003073>		
<http://purl.obolibrary.org/obo/CL_0000325>		
<http://purl.obolibrary.org/obo/GO_0010243>		
<http://purl.obolibrary.org/obo/CL_1000488>		
<http://purl.obolibrary.org/obo/GO_0098651>		
<http://purl.obolibrary.org/obo/CHEBI_50910>	"A poison that interferes with the functions of the nervous system."	
<http://purl.obolibrary.org/obo/UBERON_0012361>		
<http://purl.obolibrary.org/obo/UBERON_0002539>		
<http://purl.obolibrary.org/obo/MONDO_0002100>	"A primary or metastatic malignant neoplasm involving the cardiovascular system."	"NCIT:C114940 DOID:176 UMLS:C3898472"
<https://github.com/bmir-radx/gcbo/DisabilityStatusSection>		
<http://purl.obolibrary.org/obo/GO_0005575>		
<http://purl.obolibrary.org/obo/UBERON_0001776>		
<http://purl.obolibrary.org/obo/MONDO_0006130>	"A benign or malignant, primary or metastatic neoplasm that affects the brain, meninges, or spinal cord. Representative examples of primary neoplasms include astrocytoma, oligodendroglioma, ependymoma, and meningioma. Representative examples of metastatic neoplasms include carcinoma and leukemia."	"EFO:1000158 NCIT:C9293"
<http://purl.obolibrary.org/obo/MONDO_0800486>	"A group of disorders that affect the bones secondary to increased levels of minerals or deficient levels of minerals such as calcium, magnesium, phosphorus, and vitamin D. Representative examples are osteomalacia, osteoporosis, and Paget disease."	"NCIT:C97045"
<http://purl.obolibrary.org/obo/CL_0007004>		
<http://purl.obolibrary.org/obo/UBERON_0007123>		
<http://purl.obolibrary.org/obo/MONDO_0004880>	"Any disease in which the causes of the disease is a perturbation of the lower digestive tract leading to its dysfunction."	"DOID:9779 UMLS:C2004461 ICD9:564.9 SCTID:235594008"
<http://purl.obolibrary.org/obo/UBERON_0003072>		
<http://purl.obolibrary.org/obo/MONDO_0003490>	"A carcinoma with squamous differentiation arising from the ampulla of Vater. Signs and symptoms include jaundice, abdominal pain, anorexia, nausea, vomiting, and weight loss."	"DOID:5527 UMLS:C1332251 NCIT:C27417"
<http://purl.obolibrary.org/obo/GO_0072175>		
<http://purl.obolibrary.org/obo/MONDO_0001574>	"A disease involving a capillary."	"SCTID:58729003 ICD9:448 ICD9:448.9 UMLS:C0155765 DOID:1271"
<http://purl.obolibrary.org/obo/NCIT_C26940>	"Ongoing or recurrent pain that persists beyond that which is expected following acute injury, usually 3 months or more."	
<http://purl.obolibrary.org/obo/UBERON_0002405>		
<http://purl.obolibrary.org/obo/UBERON_0004801>		
<http://purl.obolibrary.org/obo/GO_0005576>		
<http://purl.obolibrary.org/obo/UBERON_0001775>		
<http://purl.obolibrary.org/obo/MONDO_0001229>	"A diverticulitis that involves the small intestine."	"ICD9:562.02 SCTID:56165008 UMLS:C0156164 ICD9:562.01 DOID:11223"
<http://purl.obolibrary.org/obo/MONDO_0005406>	"Carbohydrate intolerance first diagnosed during pregnancy."	"SCTID:11687002 NCIT:C34942 DOID:11714 UMLS:C0085207 MESH:D016640 EFO:0004593"
<http://purl.obolibrary.org/obo/CL_0007001>		
<http://purl.obolibrary.org/obo/MONDO_0021069>	"A malignant neoplasm affecting the endocrine glands. Representative examples include thyroid gland carcinoma, parathyroid gland carcinoma, pituitary gland carcinoma, and adrenal cortex carcinoma."	"ICD9:194.9 DOID:170 NCIT:C3575 MESH:D004701"
<http://purl.obolibrary.org/obo/NCBITaxon_9989>		
<http://purl.obolibrary.org/obo/MONDO_0003500>	"A squamous cell carcinoma that involves the bile duct."	"UMLS:C0861861 DOID:5537 NCIT:C5777"
<http://purl.obolibrary.org/obo/CHEBI_33704>	"An amino acid in which the amino group is located on the carbon atom at the position alpha to the carboxy group."	
<http://purl.obolibrary.org/obo/CHEBI_36586>	"Any compound containing the carbonyl group, C=O. The term is commonly used in the restricted sense of aldehydes and ketones, although it actually includes carboxylic acids and derivatives."	
<http://purl.obolibrary.org/obo/GO_0042995>		
<http://purl.obolibrary.org/obo/CL_0000763>		
<http://purl.obolibrary.org/obo/MONDO_0003410>	"A cervical adenocarcinoma that arises from mesonephric remnants. It is usually characterized by the presence of tubular glands lined by cuboidal epithelial cells."	"UMLS:C1516419 NCIT:C40254 DOID:5368"
<http://purl.obolibrary.org/obo/MONDO_0005020>	"A non-neoplastic or neoplastic disorder that affects the small or large intestine."	"ICD9:560-569.99 DOID:5295 ICD9:564.4 ICD9:569.89 ICD9:569.4 ICD9:569.9 ICD9:520-579.99 SCTID:85919009 ICD9:564 ICD9:569.49 MESH:D007410 ICD9:569 NCIT:C26801 ICD9:575 ICD9:570-579.99"
<http://purl.obolibrary.org/obo/UBERON_0003075>		
<http://purl.obolibrary.org/obo/HP_0012252>		
<http://purl.obolibrary.org/obo/CL_0000327>		
<http://purl.obolibrary.org/obo/MONDO_0000942>	"A non-neoplastic or neoplastic disorder that affects the cornea. Representative examples include keratitis, bullous keratopathy, and squamous cell carcinoma."	"NCIT:C26731 DOID:10124 MESH:D003316 ICD9:371.9 UMLS:C0010034 ICD9:371.89 ICD9:371.30 SCTID:15250008"
<http://purl.obolibrary.org/obo/GO_0005577>		
<http://purl.obolibrary.org/obo/UBERON_0004802>		
<http://purl.obolibrary.org/obo/UBERON_0000009>		
<http://purl.obolibrary.org/obo/MONDO_0002898>	"A malignant neoplasm involving the zone of skin"	"UMLS:C0007114 ICD9:173.8 NCIT:C2920 SCTID:372130007 DOID:4159 ICD10CM:C43-C44 ICD9:173.9"
<http://purl.obolibrary.org/obo/MONDO_0006230>	"A rare carcinoma of the stomach resembling squamous cell carcinomas arising elsewhere in the body."	"Orphanet:418959 SCTID:766980008 NCIT:C5475 EFO:1000278 UMLS:C1333789 GARD:21743 DOID:5516"
<http://purl.obolibrary.org/obo/MONDO_0024622>	"An adenocarcinoma arising from the follicular cells of the thyroid gland. According to the degree of differentiation, it is classified either as differentiated carcinoma (extensive evidence of follicular cell differentiation), or poorly differentiated carcinoma (limited evidence of follicular cell differentiation)."	"DOID:0080524 NCIT:C27380"
<http://purl.obolibrary.org/obo/GO_0030154>		
<http://purl.obolibrary.org/obo/UBERON_0003074>		
<http://purl.obolibrary.org/obo/UBERON_0004804>		
<http://purl.obolibrary.org/obo/CHEBI_5386>		
<http://purl.obolibrary.org/obo/MONDO_0004749>	"A malignant neoplasm involving the myocardium."	"UMLS:C0346611 DOID:9299 NCIT:C4569"
<http://purl.obolibrary.org/obo/UBERON_0004140>		
<http://purl.obolibrary.org/obo/UBERON_0007690>		
<http://purl.obolibrary.org/obo/MONDO_0005213>	"A carcinoma involving a uterus."	"SCTID:446022000 EFO:0002919 UMLS:C2960452"
<http://purl.obolibrary.org/obo/UBERON_0035553>		
<http://purl.obolibrary.org/obo/MONDO_0021163>	"A benign or malignant neoplasm affecting the kidney. Representative examples of benign renal neoplasms include fibroma, lipoma, oncocytoma, and juxtaglomerular cell tumor. Representative examples of malignant renal neoplasms include renal cell carcinoma, renal pelvis carcinoma, Wilms tumor, rhabdoid tumor, sarcoma, and lymphoma."	"SCTID:126880001 ICD9:239.5 NCIT:C3150 ONCOTREE:KIDNEY"
<http://purl.obolibrary.org/obo/CL_0002546>		
<http://purl.obolibrary.org/obo/UBERON_0000006>		
<http://purl.obolibrary.org/obo/MONDO_0011366>	"A neoplasm that arises from the ovary and originates from germ cells. Representative examples include teratoma, embryonal carcinoma, yolk sac tumor, and dysgerminoma."	"EFO:1000419 OMIM:603737 ICD9:239.5 NCIT:C3873 UMLS:C0238324 DOID:2156 ONCOTREE:OGCT SCTID:237059008"
<http://purl.obolibrary.org/obo/MONDO_0002974>	"A primary or metastatic malignant neoplasm involving the cervix."	"SCTID:363354003 DOID:4362 NCIT:C9311 ICD9:180 ICD9:180.9 ICD9:180.8 OMIM:603956"
<http://purl.obolibrary.org/obo/HP_0100547>		
<http://purl.obolibrary.org/obo/MF_0000074>	"A bodily quality is a quality that inheres in some extended organism."	
<http://purl.obolibrary.org/obo/GO_0009888>		
<http://purl.obolibrary.org/obo/MONDO_0002032>	"A carcinoma that arises from epithelial cells of the colon"	"NCIT:C4910 SCTID:269533000 UMLS:C0699790 EFO:1001950 DOID:1520"
<http://purl.obolibrary.org/obo/NCIT_C78272>	"An agent that exerts a physiologic effect on neurotransmission or on any anatomic entity that is part of the nervous system, including the central nervous system (CNS) and peripheral nervous system (PNS)."	
<http://purl.obolibrary.org/obo/PATO_0001410>		
<http://purl.obolibrary.org/obo/UBERON_0001772>		
<https://github.com/bmir-radx/gcbo/nih_liver_disease>		
<https://github.com/bmir-radx/gcbo/nih_chf>		
<http://purl.obolibrary.org/obo/CL_0000586>		
<http://purl.obolibrary.org/obo/MONDO_0700253>	"Paraneoplastic syndrome that involves the hematopoietic system."	
<http://purl.obolibrary.org/obo/UBERON_0005162>		
<http://purl.obolibrary.org/obo/UBERON_0015212>		
<http://purl.obolibrary.org/obo/NCIT_C41009>	"A term that helps define and render a concept unique."	
<http://purl.obolibrary.org/obo/UBERON_0008895>		
<http://purl.obolibrary.org/obo/UBERON_0001202>		
<http://purl.obolibrary.org/obo/GO_0071944>		
<http://purl.obolibrary.org/obo/UBERON_0000004>		
<http://purl.obolibrary.org/obo/UBERON_0002536>		
<http://purl.obolibrary.org/obo/UBERON_0003071>		
<https://github.com/bmir-radx/gcbo/nih_muscle_ache>		
<http://purl.obolibrary.org/obo/MONDO_0015278>	"Familial pancreatic carcinoma is defined by the presence of pancreatic cancer (PC) in two or more first-degree relatives."	"GARD:4206 NCIT:C43298 SCTID:715414009 MESH:C535837 OMIM:260350 UMLS:C2931038 Orphanet:1333"
<http://purl.obolibrary.org/obo/MONDO_0006704>	"Conditions characterized by loss or dysfunction of myelin (see myelin sheath) in the brain, spinal cord, or optic nerves secondary to autoimmune mediated processes. This may take the form of a humoral or cellular immune response directed toward myelin or oligodendroglia associated autoantigens."	"MESH:D020278 EFO:1000870"
<http://purl.obolibrary.org/obo/NCIT_C95544>	"The act of putting on clothes."	
<http://purl.obolibrary.org/obo/CHEBI_26712>		
<http://purl.obolibrary.org/obo/GO_0051606>		
<http://purl.obolibrary.org/obo/CHEBI_79389>	"Any inorganic anion with a valency of one."	
<http://purl.obolibrary.org/obo/CHEBI_50584>	"An aliphatic alcohol in which the aliphatic alkane chain is substituted by a hydroxy group at unspecified position."	
<http://purl.obolibrary.org/obo/GO_0032991>		
<http://purl.obolibrary.org/obo/HP_0000951>		
<http://purl.obolibrary.org/obo/MONDO_0021246>	"A neoplasm (disease) that involves the pharynx."	"NCIT:C3325 ICD10CM:C00-C14"
<http://purl.obolibrary.org/obo/MONDO_0024355>	"Invasion of the host RESPIRATORY SYSTEM by microorganisms, usually leading to pathological processes or diseases."	"ICD9:519.8 MESH:D012141 SCTID:275498002"
<https://github.com/bmir-radx/gcbo/nih_employment>		
<http://purl.obolibrary.org/obo/GO_0002460>		
<http://purl.obolibrary.org/obo/GO_0050975>		
<http://purl.obolibrary.org/obo/NCBITaxon_7898>		
<http://purl.obolibrary.org/obo/MONDO_0005517>	"A primary or metastatic malignant neoplasm that affects the pharynx."	"EFO:0005577 DOID:0060119 MESH:D010610 NCIT:C7545"
<http://purl.obolibrary.org/obo/GO_0044297>		
